,index,Unnamed: 0,entity,description,category,node_occurence_flag
0,0,6,UTS namespace,Shared hostname and network interfaces among containers in a pod,network,Single
1,1,11,Port space,Shared port numbers among containers in a pod,network,Single
2,2,14,Flat inter-pod network,"single flat, shared network-address space for all pods",network,Single
3,3,18,NAT (Network Address Translation),gateway between pods that translates IP addresses,software,Single
4,4,19,Worker nodes,physical or virtual machines that run pods,hardware,Single
5,5,20,LAN (Local Area Network),network for computers on the same physical location,network,Single
6,6,21,Software-defined network,additional network layered on top of actual network,software,Single
7,7,22,VM (Virtual Machine),virtualized environment for running operating systems,hardware,Single
8,8,24,App,application or service that runs in a pod,software,Single
9,9,26,Container 1,instance of a container running an application,process,Single
10,10,27,Container 2,instance of a container running an application,process,Single
11,11,33,Log rotator,a type of sidecar container that rotates and manages logs for a container,process,Single
12,12,34,Collector,a type of sidecar container that collects data from a container or other sources,process,Single
13,13,35,Data processor,a type of sidecar container that processes and transforms data for a container,process,Single
14,14,36,Communication adapter,a type of sidecar container that enables communication between containers or other systems,process,Single
15,15,37,Frontend process,"the main process running in the frontend pod, responsible for serving files and handling user requests",process,Single
16,16,38,Backend process,"the main process running in the backend pod, responsible for processing data and handling requests",process,Single
17,17,39,Frontend container,the container running the frontend process in a pod,container,Single
18,18,40,Backend container,the container running the backend process in a pod,container,Single
19,19,45,REST API,Web service for interacting with Kubernetes resources,software,Single
20,20,50,API object definitions,"Definitions of Kubernetes API objects, such as Pods, Services, etc.",software,Single
21,21,51,Kubernetes API reference documentation,Official documentation for the Kubernetes API,documentation,Single
22,22,54,Pod metadata,"Information about a Pod, including its name, labels, annotations, etc.",container,Single
23,23,55,Pod specification,"Contents of a Pod, including its containers, volumes, and so on",container,Single
24,24,59,dnsPolicy,ClusterFirst,network,Single
25,25,60,nodeName,gke-kubia-e8fe08b8-node-txje,hardware,Single
26,26,62,serviceAccount,default,application,Single
27,27,63,terminationGracePeriodSeconds,30,process,Single
28,28,65,containerID,docker://f0276994322d247ba...,process,Single
29,29,67,lastState,{},process,Single
30,30,69,ready,true,process,Single
31,31,70,restartCount,0,process,Single
32,32,71,state,running: startedAt: 2016-03-18T12:46:05Z,process,Single
33,33,72,hostIP,10.132.0.4,hardware,Single
34,34,73,phase,Running,process,Single
