,entity,description,category,node_occurence_flag
6,UTS namespace,Shared hostname and network interfaces among containers in a pod,network,Single
11,Port space,Shared port numbers among containers in a pod,network,Single
14,Flat inter-pod network,"single flat, shared network-address space for all pods",network,Single
18,NAT (Network Address Translation),gateway between pods that translates IP addresses,software,Single
19,Worker nodes,physical or virtual machines that run pods,hardware,Single
20,LAN (Local Area Network),network for computers on the same physical location,network,Single
21,Software-defined network,additional network layered on top of actual network,software,Single
22,VM (Virtual Machine),virtualized environment for running operating systems,hardware,Single
24,App,application or service that runs in a pod,software,Single
26,Container 1,instance of a container running an application,process,Single
27,Container 2,instance of a container running an application,process,Single
33,Log rotator,a type of sidecar container that rotates and manages logs for a container,process,Single
34,Collector,a type of sidecar container that collects data from a container or other sources,process,Single
35,Data processor,a type of sidecar container that processes and transforms data for a container,process,Single
36,Communication adapter,a type of sidecar container that enables communication between containers or other systems,process,Single
37,Frontend process,"the main process running in the frontend pod, responsible for serving files and handling user requests",process,Single
38,Backend process,"the main process running in the backend pod, responsible for processing data and handling requests",process,Single
39,Frontend container,the container running the frontend process in a pod,container,Single
40,Backend container,the container running the backend process in a pod,container,Single
45,REST API,Web service for interacting with Kubernetes resources,software,Single
50,API object definitions,"Definitions of Kubernetes API objects, such as Pods, Services, etc.",software,Single
51,Kubernetes API reference documentation,Official documentation for the Kubernetes API,documentation,Single
54,Pod metadata,"Information about a Pod, including its name, labels, annotations, etc.",container,Single
55,Pod specification,"Contents of a Pod, including its containers, volumes, and so on",container,Single
59,dnsPolicy,ClusterFirst,network,Single
60,nodeName,gke-kubia-e8fe08b8-node-txje,hardware,Single
62,serviceAccount,default,application,Single
63,terminationGracePeriodSeconds,30,process,Single
65,containerID,docker://f0276994322d247ba...,process,Single
67,lastState,{},process,Single
69,ready,true,process,Single
70,restartCount,0,process,Single
71,state,running: startedAt: 2016-03-18T12:46:05Z,process,Single
72,hostIP,10.132.0.4,hardware,Single
73,phase,Running,process,Single
74,podIP,10.0.2.3,hardware,Single
75,startTime,2016-03-18T12:44:32Z,process,Single
76,Kubernetes API version,used in the YAML and the type of resource the YAML is describing,software,Single
78,Spec,contains the actual description of the pod’s contents,database,Single
79,Pod specification/contents,"list of pod’s containers, volumes, and so on",database,Single
80,Detailed status of the pod and its containers,status: conditions: lastProbeTime: null lastTransitionTime: null status: True type: Ready,process,Single
93,protocol,"The protocol being used for communication over a port, such as TCP or UDP.",network,Single
101,status,"The current state of a pod, including its running containers and any errors.",application,Single
107,po kubia-manual,Pod object used to retrieve its YAML definition,object,Single
108,-o yaml,Option to specify output format as YAML,option,Single
109,-o json,Option to specify output format as JSON,option,Single
114,process's standard output,Output stream where the application logs are written,output stream,Single
115,standard error stream,Error output stream where the application logs are written,output stream,Single
120,$ docker logs <container id>,command to get container's log,command,Single
122,kubectl logs kubia-manual,"command to see pod's log (more precisely, container's log)",command,Single
123,Kubia server starting...,log statement about the server starting up,log message,Single
124,-c <container name>,option to specify container name when getting logs of a multi-container pod,flag,Single
125,$ kubectl logs kubia-manual -c kubia,command to get logs of a specific container in a multi-container pod,command,Single
126,container name,name of the container for which logs are being retrieved,parameter,Single
128,port forwarding,method to connect to a pod for testing and debugging purposes,process,Single
135,localhost:8888,The local machine's port being used to connect to the pod.,port,Single
136,8080,The port number on the pod being accessed.,port,Single
142,Resource,any object in Kubernetes that can be labeled,object,Single
145,Microservice,"a small, independent service that can be deployed independently",application,Single
148,UI Pod,a pod running the user interface for an application,container,Single
157,canary release,A deployment strategy where a new version of an application is deployed next to the stable version,deployment strategy,Single
158,stable release,A deployment strategy where a new version of an application is deployed as the primary version,deployment strategy,Single
159,beta release,A deployment strategy where a new version of an application is deployed for testing and feedback,deployment strategy,Single
160,kubia-manual-with-labels.yaml,A YAML file that specifies labels when creating a pod,file,Single
165,ui pod,A pod with a label specifying it as a UI component,pod,Single
166,account service,A pod with a label specifying it as an account service component,pod,Single
167,product catalog,A pod with a label specifying it as a product catalog component,pod,Single
168,shopping cart,A pod with a label specifying it as a shopping cart component,pod,Single
169,order service,A pod with a label specifying it as an order service component,pod,Single
175,--show-labels,switch to show labels in kubectl get pods output,option,Single
176,-L,switch to specify labels to display in kubectl get pods output,option,Single
179,kubia-manual-v2,pod name,application,Single
189,manual,Value of the creation_method label for manually-created pods,label value,Single
191,none,Value of the creation_method and env labels for certain pods,label value,Single
197,!env,Bash shell variable,process,Single
198,creation_method!=manual,Label selector for pods created manually,label_selector,Single
199,"env in (prod,devel)",Label selector for pods with env label set to prod or devel,label_selector,Single
200,"env notin (prod,devel)",Label selector for pods with env label not set to prod or devel,label_selector,Single
201,app=pc,Label selector for product catalog microservice pods,label_selector,Single
202,rel=beta,Label selector for beta release of product catalog microservice,label_selector,Single
203,app=ui,Label selector for UI pod,label_selector,Single
204,rel=stable,Label selector for stable release of various services,label_selector,Single
205,app=sc,Label selector for Shopping Cart pod,label_selector,Single
206,rel=canary,Label selector for canary release of various services,label_selector,Single
209,selectors,used to constrain pod scheduling based on node labels,software,Single
216,SSDs,solid-state drives used in some worker nodes,hardware,Single
217,spinning hard drives,a type of storage device used in some worker nodes,hardware,Single
218,GPU acceleration,the use of graphics processing units to accelerate computation,hardware,Single
219,node requirements,a description of the resources required by a pod,software,Single
221,app: ui,a label used to identify the UI pod,software,Single
224,app: as,a label used to identify the Account Service pod,software,Single
229,GPU,general-purpose GPU computing,hardware,Single
240,gpu,label that indicates a node has a GPU,hardware,Single
243,kubernetes.io/hostname,a unique label on each node with its hostname,software,Single
252,chapter 16,a reference to additional information on scheduling pods,software,Single
259,kubernetes.io/created-by,annotation key used to store information about the creator of a pod,software,Single
262,kubectl annotate,command for adding or modifying annotations on existing pods,software,Single
263,mycompany.com/someannotation,example annotation key used to store additional data about a pod,software,Single
271,names,only need to be unique within a namespace,software,Single
276,kube-public namespace,a namespace used by Kubernetes,software,Single
279,fluentd-cloud-kubia-e8fe-node-txje pod,a pod in the kube-system namespace,software,Single
280,heapster-v11-fz1ge pod,a pod in the kube-system namespace,software,Single
281,kube-dns-v9-p8a4t pod,a pod in the kube-system namespace,software,Single
282,kube-ui-v4-kdlai pod,a pod in the kube-system namespace,software,Single
283,l7-lb-controller-v0.5.2-bue96 pod,a pod in the kube-system namespace,software,Single
300,metadata section,A section in a YAML manifest that specifies the metadata for a resource,software,Single
304,--namespace flag,A flag used with the `kubectl` command to specify a namespace for an action,flag,Single
305,kubectl config commands,Commands used to manage Kubernetes contexts and namespaces,software,Single
306,alias kcd,An alias created to quickly switch between namespaces using the `kubectl` command,command,Single
307,networking solution,A solution that provides network isolation between namespaces in Kubernetes,software,Single
308,inter-namespace network isolation,The ability of a networking solution to isolate pods across different namespaces,feature,Single
317,creation_method=manual label,A label attached to pods created manually,label,Single
318,rel=canary label,A label attached to canary pods,label,Single
321,ns,namespace in Kubernetes,software,Single
332,ui,example application name,software,Single
335,stable,example release version,software,Single
336,as,example application name,software,Single
337,pc,example application name,software,Single
345,canary,release version label selector,software,Single
353,kubia-09as0,pod name,software,Single
354,kubia-something,pod name,software,Single
356,kubia-http Service,service that exposes the kubia application to the network,software,Single
361,Label Selectors,should be used to organize pods and easily perform operations on multiple pods at once.,metadata,Single
363,Selectors,can be used to schedule pods only to nodes that have certain features.,node,Single
364,Annotations,allow attaching larger blobs of data to pods either by people or tools and libraries.,metadata,Single
366,kubectl explain command,can be used to quickly look up the information on any Kubernetes resource.,command,Single
372,cluster node,physical or virtual machine running Kubernetes,hardware,Single
374,Replication and other controllers,managed resources that create and manage pods,application,Single
378,horizontal scaling,process of increasing the number of pods to meet demand,process,Single
379,system-level pods,pods that run on each cluster node and provide system services,application,Single
380,batch jobs,"short-lived, non-interactive processes that perform a specific task",application,Single
381,scheduling jobs,process of running batch jobs periodically or once in the future,process,Single
388,OutOfMemoryErrors,Error thrown when a process consumes excessive memory,error,Single
389,Java app,Example application with a memory leak,application,Single
394,TCP Socket,A type of probe that tries to open a TCP connection to the specified port of the container.,process,Single
396,HTTP GET liveness probe,A type of probe that performs an HTTP GET request to check whether a web server is serving requests.,process,Single
397,livenessProbe,A field in the pod specification that defines a liveness probe for the container.,field,Single
409,httpGet liveness probe,a mechanism to periodically perform HTTP GET requests on a path to determine if a container is still healthy,software,Single
413,RESTARTS column,a column in the output of kubectl get that shows how many times a pod's container has been restarted,software,Single
415,kubia-liveness,the name of a pod in the example,software,Single
417,--previous option,an option for kubectl logs that allows retrieving the log output from a previous instance of a container,software,Single
418,myped,the name of a pod in the example,software,Single
423,http-get,HTTP request method used in liveness probe,command,Single
424,delay=0s,Initial delay before starting the liveness probe,parameter,Single
425,timeout=1s,Timeout period for the liveness probe,parameter,Single
426,period=10s,Period between consecutive liveness probes,parameter,Single
427,#success=1,Number of successful liveness probe attempts,parameter,Single
428,#failure=3,Number of failed liveness probe attempts before restart,parameter,Single
433,initialDelaySeconds,delay before executing a probe,process/thread,Single
434,probe,mechanism to check the health of a container,application/process,Single
438,exit code,numeric value indicating the reason for a process termination,process/thread,Single
442,health check,mechanism to verify the internal status of an application,application/process,Single
443,/health,HTTP endpoint for health checks,hardware/network,Single
453,Exec Probe,A type of liveness probe that executes a command to check if a container is running correctly,software,Single
454,HTTP GET Liveness Probe,A type of liveness probe that uses an HTTP GET request to check if a container is running correctly,software,Single
461,RC,Abbreviation for ReplicationController.,software,Single
464,pod B2,A new pod instance created by the ReplicationController to replace pod B.,container,Single
468,Replica count,The desired number of pods that should be running at any given time.,count,Single
471,Pod selector,A way to select pods based on labels attached to them.,selector,Single
478,JSON or YAML descriptor,"A file format used to define and describe Kubernetes resources, such as ReplicationControllers.",software,Single
502,$ kubectl delete pod,The command used to manually delete a pod from the cluster.,command,Single
504,ReplicationController spins up a new pod,The process by which a ReplicationController creates a new pod when one is deleted or fails.,process,Single
505,$ kubectl get rc,The command used to list all running ReplicationControllers in the cluster.,command,Single
508,Ready,A status indicator that shows how many pods are currently running and ready to receive traffic.,status,Single
513,api server,The central component that manages access to the Kubernetes cluster.,application,Single
516,containercreating,An event indicating that a container is being created.,event,Single
517,terminating,An event indicating that a pod is terminating.,event,Single
520,gcloud compute ssh command,A command used to SSH into a Google Kubernetes Engine node.,software,Single
521,ifconfig eth0 down,A command used to shut down the network interface on a node.,software,Single
525,kubectl get node command,A command used to list the nodes in a Kubernetes cluster.,software,Single
526,NotReady status,The status of a node that is not ready due to network issues or other problems.,hardware,Single
527,Unknown status,The status of a pod that is scheduled to an unreachable node.,software,Single
535,instances,compute instances in GKE cluster,hardware,Single
539,ownerReferences,field in pod metadata referencing ReplicationController,software,Single
541,pod creation,event creating a new pod instance,container,Single
548,-L app,An option for the kubectl get command to display the app label in a column.,command,Single
557,kubia-2qneh,A pod name,container,Single
558,kubia-dmdck,A pod name,container,Single
563,kubia-oini2,A pod name,container,Single
564,kubia-k0xz6,A pod name,container,Single
569,rc kubia,The name of a ReplicationController.,software,Single
570,YAML definition,"A human-readable format for representing data, used to define Kubernetes resources.",format,Single
