,entity,description,category,node_occurence_flag
0,Docker,Containerization platform,software,Multi
1,Kubernetes,Container orchestration system,software,Multi
2,Pods,Group of containers that share resources and run as a single unit,application,Multi
3,Containers,Isolated execution environment for processes,container,Multi
4,Linux namespaces,Resource isolation mechanism in Linux,process,Multi
5,Network namespace,Shared network resources among containers in a pod,network,Multi
7,IPC namespace,Shared inter-process communication resources among containers in a pod,process,Multi
8,PID namespace,Shared process ID space among containers in a pod,process,Multi
9,Volume,Kubernetes concept for sharing file directories among containers,database,Multi
10,IP address,Shared IP address among containers in a pod,network,Multi
12,Pods,logical hosts that behave much like physical hosts or VMs,container,Multi
13,Kubernetes,cluster management system,software,Multi
15,Pod,logical host that hosts a certain app,container,Multi
16,Container,lightweight process that runs an application,process,Multi
17,IP address,unique identifier for each pod,network,Multi
23,Process,instance of a program that is being executed,process,Multi
25,Node,physical or virtual machine that runs pods,hardware,Multi
28,Pod,a group of one or more containers that share resources and are scheduled together,container,Multi
29,Container,a lightweight and standalone executable package of software,container,Multi
30,Kubernetes,"an open-source container orchestration system for automating the deployment, scaling, and management of containers",software,Multi
31,Volume,a way to persist data across container restarts and provide shared storage between containers,database,Multi
32,Sidecar container,"an additional container that runs alongside the main container in a pod, often used for tasks such as log rotation or communication",container,Multi
41,Pod,a group of one or more containers that share resources and are scheduled together,container,Multi
42,Frontend pod,a pod containing the frontend container and process,pod,Multi
43,Backend pod,a pod containing the backend container and process,pod,Multi
44,Kubernetes,Container orchestration system,software,Multi
46,kubectl,Command-line tool for managing Kubernetes resources,software,Multi
47,YAML,Human-readable data serialization format,software,Multi
48,JSON,Lightweight data interchange format,software,Multi
49,Pods,Lightweight and ephemeral worker containers in Kubernetes,container,Multi
52,kubectl get command,Command to retrieve information about a Kubernetes resource,software,Multi
53,kubectl run command,"Command to create a new Kubernetes resource, such as a Pod or Service",software,Multi
56,containers,Lightweight and ephemeral worker processes in Kubernetes,container,Multi
57,volumes,Persistent storage for a Pod or container,storage,Multi
58,terminationMessagePath,/dev/termination-log,process,Multi
61,restartPolicy,Always,process,Multi
64,volumes,"list of pod’s containers, volumes, and so on",database,Multi
66,image,luksa/kubia,software,Multi
68,name,kubia,application,Multi
77,Metadata,"includes the name, namespace, labels, and other information about the pod",database,Multi
81,Status,"Current information about the running pod, such as what condition the pod is in, the description and status of each container, and the pod’s internal IP and other basic info.",software,Multi
82,Pod,A Kubernetes API object that represents a running application or service.,application,Multi
83,YAML,"A human-readable serialization format for data, used to describe pods and other Kubernetes objects.",software,Multi
84,JSON,"A lightweight data interchange format, used to describe pods and other Kubernetes objects.",software,Multi
85,apiVersion,The version of the Kubernetes API being used to create a pod or other object.,software,Multi
86,kind,"The type of resource being described, such as a pod or service.",software,Multi
87,metadata,"Information about the pod or other object, such as its name and labels.",software,Multi
88,spec,"The specification for the pod or other object, including its containers and ports.",software,Multi
89,containers,A list of containers that make up the pod or other object.,application,Multi
90,image,The Docker image being used to create a container for the pod or other object.,software,Multi
91,ports,A list of ports that are exposed by the containers in the pod or other object.,application,Multi
92,containerPort,The port number being exposed by a container in the pod or other object.,software,Multi
94,Pod,A collection of containers that can run on a host.,application,Multi
95,container,A process running within a pod.,process,Multi
96,port,An endpoint for communication between pods or with the outside world.,network,Multi
